"","country1","country2","year","exports"
"144","Mexico","France",1900,1.34
"145","Mexico","Switzerland",1900,NA
"146","Mexico","Spain",1900,0.56
"147","Mexico","Portugal",1900,NA
"148","Mexico","Germany",1900,2.39
"149","Mexico","Austria-Hungary",1900,NA
"150","Mexico","Italy",1900,NA
"151","Mexico","Yugoslavia",1900,NA
"152","Mexico","Greece",1900,NA
"153","Mexico","Romania",1900,NA
"154","Mexico","Russia",1900,NA
"155","Mexico","Sweden",1900,NA
"156","Mexico","Denmark",1900,NA
"157","Mexico","Ethiopia",1900,NA
"158","Mexico","Morocco",1900,NA
"159","Mexico","Iran",1900,NA
"160","Mexico","Turkey",1900,NA
"161","Mexico","China",1900,NA
"162","Mexico","Korea",1900,NA
"163","Mexico","Japan",1900,NA
"164","Mexico","Thailand",1900,NA
"165","Guatemala","United States of America",1900,NA
"166","Guatemala","Haiti",1900,NA
"167","Guatemala","Dominican Republic",1900,NA
"168","Guatemala","Mexico",1900,NA
"169","Guatemala","Honduras",1900,NA
"170","Guatemala","El Salvador",1900,NA
"171","Guatemala","Nicaragua",1900,NA
"172","Guatemala","Colombia",1900,NA
"173","Guatemala","Venezuela",1900,NA
"174","Guatemala","Ecuador",1900,NA
"175","Guatemala","Peru",1900,NA
"176","Guatemala","Brazil",1900,NA
"177","Guatemala","Bolivia",1900,NA
"178","Guatemala","Paraguay",1900,NA
"179","Guatemala","Chile",1900,NA
"180","Guatemala","Argentina",1900,NA
"181","Guatemala","Uruguay",1900,NA
"182","Guatemala","United Kingdom",1900,NA
"183","Guatemala","Netherlands",1900,NA
"184","Guatemala","Belgium",1900,NA
"185","Guatemala","France",1900,NA
"186","Guatemala","Switzerland",1900,NA
"187","Guatemala","Spain",1900,NA
"188","Guatemala","Portugal",1900,NA
"189","Guatemala","Germany",1900,NA
"190","Guatemala","Austria-Hungary",1900,NA
"191","Guatemala","Italy",1900,NA
"192","Guatemala","Yugoslavia",1900,NA
"193","Guatemala","Greece",1900,NA
"194","Guatemala","Romania",1900,NA
"195","Guatemala","Russia",1900,NA
"196","Guatemala","Sweden",1900,NA
"197","Guatemala","Denmark",1900,NA
"198","Guatemala","Ethiopia",1900,NA
"199","Guatemala","Morocco",1900,NA
"200","Guatemala","Iran",1900,NA
"201","Guatemala","Turkey",1900,NA
"202","Guatemala","China",1900,NA
"203","Guatemala","Korea",1900,NA
"204","Guatemala","Japan",1900,NA
"205","Guatemala","Thailand",1900,NA
"206","Honduras","United States of America",1900,NA
"207","Honduras","Haiti",1900,NA
"208","Honduras","Dominican Republic",1900,NA
"209","Honduras","Mexico",1900,NA
"210","Honduras","Guatemala",1900,NA
"211","Honduras","El Salvador",1900,NA
"212","Honduras","Nicaragua",1900,NA
"213","Honduras","Colombia",1900,NA
"214","Honduras","Venezuela",1900,NA
"215","Honduras","Ecuador",1900,NA
"216","Honduras","Peru",1900,NA
"217","Honduras","Brazil",1900,NA
"218","Honduras","Bolivia",1900,NA
"219","Honduras","Paraguay",1900,NA
"220","Honduras","Chile",1900,NA
"221","Honduras","Argentina",1900,NA
"222","Honduras","Uruguay",1900,NA
"223","Honduras","United Kingdom",1900,NA
"224","Honduras","Netherlands",1900,NA
"225","Honduras","Belgium",1900,NA
"226","Honduras","France",1900,NA
"227","Honduras","Switzerland",1900,NA
"228","Honduras","Spain",1900,NA
"229","Honduras","Portugal",1900,NA
"230","Honduras","Germany",1900,NA
"231","Honduras","Austria-Hungary",1900,NA
"232","Honduras","Italy",1900,NA
"233","Honduras","Yugoslavia",1900,NA
"234","Honduras","Greece",1900,NA
"235","Honduras","Romania",1900,NA
"236","Honduras","Russia",1900,NA
"237","Honduras","Sweden",1900,NA
"238","Honduras","Denmark",1900,NA
"239","Honduras","Ethiopia",1900,NA
"240","Honduras","Morocco",1900,NA
"241","Honduras","Iran",1900,NA
"242","Honduras","Turkey",1900,NA
"243","Honduras","China",1900,NA
"244","Honduras","Korea",1900,NA
"245","Honduras","Japan",1900,NA
"246","Honduras","Thailand",1900,NA
"247","El Salvador","United States of America",1900,NA
"248","El Salvador","Haiti",1900,NA
"249","El Salvador","Dominican Republic",1900,NA
"250","El Salvador","Mexico",1900,NA
"251","El Salvador","Guatemala",1900,NA
"252","El Salvador","Honduras",1900,NA
"253","El Salvador","Nicaragua",1900,NA
"254","El Salvador","Colombia",1900,NA
"255","El Salvador","Venezuela",1900,NA
"256","El Salvador","Ecuador",1900,NA
"257","El Salvador","Peru",1900,NA
"258","El Salvador","Brazil",1900,NA
"259","El Salvador","Bolivia",1900,NA
"260","El Salvador","Paraguay",1900,NA
"261","El Salvador","Chile",1900,NA
"262","El Salvador","Argentina",1900,NA
"263","El Salvador","Uruguay",1900,NA
"264","El Salvador","United Kingdom",1900,NA
"265","El Salvador","Netherlands",1900,NA
"266","El Salvador","Belgium",1900,NA
"267","El Salvador","France",1900,NA
"268","El Salvador","Switzerland",1900,NA
"269","El Salvador","Spain",1900,NA
"270","El Salvador","Portugal",1900,NA
"271","El Salvador","Germany",1900,NA
"272","El Salvador","Austria-Hungary",1900,NA
"273","El Salvador","Italy",1900,NA
"274","El Salvador","Yugoslavia",1900,NA
"275","El Salvador","Greece",1900,NA
"276","El Salvador","Romania",1900,NA
"277","El Salvador","Russia",1900,NA
"278","El Salvador","Sweden",1900,NA
"279","El Salvador","Denmark",1900,NA
"280","El Salvador","Ethiopia",1900,NA
"281","El Salvador","Morocco",1900,NA
"282","El Salvador","Iran",1900,NA
"283","El Salvador","Turkey",1900,NA
"284","El Salvador","China",1900,NA
"285","El Salvador","Korea",1900,NA
"286","El Salvador","Japan",1900,NA
"287","El Salvador","Thailand",1900,NA
"288","Nicaragua","United States of America",1900,NA
"289","Nicaragua","Haiti",1900,NA
"290","Nicaragua","Dominican Republic",1900,NA
"291","Nicaragua","Mexico",1900,NA
"292","Nicaragua","Guatemala",1900,NA
"293","Nicaragua","Honduras",1900,NA
"294","Nicaragua","El Salvador",1900,NA
"295","Nicaragua","Colombia",1900,NA
"296","Nicaragua","Venezuela",1900,NA
"297","Nicaragua","Ecuador",1900,NA
"298","Nicaragua","Peru",1900,NA
"299","Nicaragua","Brazil",1900,NA
"300","Nicaragua","Bolivia",1900,NA
"301","Nicaragua","Paraguay",1900,NA
"302","Nicaragua","Chile",1900,NA
"303","Nicaragua","Argentina",1900,NA
"304","Nicaragua","Uruguay",1900,NA
"305","Nicaragua","United Kingdom",1900,NA
"306","Nicaragua","Netherlands",1900,NA
"307","Nicaragua","Belgium",1900,NA
"308","Nicaragua","France",1900,NA
"309","Nicaragua","Switzerland",1900,NA
"310","Nicaragua","Spain",1900,NA
"311","Nicaragua","Portugal",1900,NA
"312","Nicaragua","Germany",1900,NA
"313","Nicaragua","Austria-Hungary",1900,NA
"314","Nicaragua","Italy",1900,NA
"315","Nicaragua","Yugoslavia",1900,NA
"316","Nicaragua","Greece",1900,NA
"317","Nicaragua","Romania",1900,NA
"318","Nicaragua","Russia",1900,NA
"319","Nicaragua","Sweden",1900,NA
"320","Nicaragua","Denmark",1900,NA
"321","Nicaragua","Ethiopia",1900,NA
"322","Nicaragua","Morocco",1900,NA
"323","Nicaragua","Iran",1900,NA
"324","Nicaragua","Turkey",1900,NA
"325","Nicaragua","China",1900,NA
"326","Nicaragua","Korea",1900,NA
"327","Nicaragua","Japan",1900,NA
"328","Nicaragua","Thailand",1900,NA
"329","Colombia","United States of America",1900,3.23
"330","Colombia","Haiti",1900,NA
"331","Colombia","Dominican Republic",1900,NA
"332","Colombia","Mexico",1900,NA
"333","Colombia","Guatemala",1900,NA
"334","Colombia","Honduras",1900,NA
"335","Colombia","El Salvador",1900,NA
"336","Colombia","Nicaragua",1900,NA
"337","Colombia","Venezuela",1900,NA
"338","Colombia","Ecuador",1900,NA
"339","Colombia","Peru",1900,NA
"340","Colombia","Brazil",1900,NA
"341","Colombia","Bolivia",1900,NA
"342","Colombia","Paraguay",1900,NA
"343","Colombia","Chile",1900,NA
"344","Colombia","Argentina",1900,NA
"345","Colombia","Uruguay",1900,NA
"346","Colombia","United Kingdom",1900,1.36
"347","Colombia","Netherlands",1900,NA
"348","Colombia","Belgium",1900,NA
"349","Colombia","France",1900,NA
"350","Colombia","Switzerland",1900,NA
"351","Colombia","Spain",1900,NA
"352","Colombia","Portugal",1900,NA
"353","Colombia","Germany",1900,NA
"354","Colombia","Austria-Hungary",1900,NA
"355","Colombia","Italy",1900,NA
"356","Colombia","Yugoslavia",1900,NA
"357","Colombia","Greece",1900,NA
"358","Colombia","Romania",1900,NA
"359","Colombia","Russia",1900,NA
"360","Colombia","Sweden",1900,NA
"361","Colombia","Denmark",1900,NA
"362","Colombia","Ethiopia",1900,NA
"363","Colombia","Morocco",1900,NA
"364","Colombia","Iran",1900,NA
"365","Colombia","Turkey",1900,NA
"366","Colombia","China",1900,NA
"367","Colombia","Korea",1900,NA
"368","Colombia","Japan",1900,NA
"369","Colombia","Thailand",1900,NA
"370","Venezuela","United States of America",1900,6.64
"371","Venezuela","Haiti",1900,NA
"372","Venezuela","Dominican Republic",1900,NA
"373","Venezuela","Mexico",1900,NA
"374","Venezuela","Guatemala",1900,NA
"375","Venezuela","Honduras",1900,NA
"376","Venezuela","El Salvador",1900,NA
"377","Venezuela","Nicaragua",1900,NA
"378","Venezuela","Colombia",1900,NA
"379","Venezuela","Ecuador",1900,NA
"380","Venezuela","Peru",1900,NA
"381","Venezuela","Brazil",1900,NA
"382","Venezuela","Bolivia",1900,NA
"383","Venezuela","Paraguay",1900,NA
"384","Venezuela","Chile",1900,NA
"385","Venezuela","Argentina",1900,NA
"386","Venezuela","Uruguay",1900,NA
"387","Venezuela","United Kingdom",1900,0.59
"388","Venezuela","Netherlands",1900,NA
"389","Venezuela","Belgium",1900,NA
"390","Venezuela","France",1900,NA
"391","Venezuela","Switzerland",1900,NA
"392","Venezuela","Spain",1900,NA
"393","Venezuela","Portugal",1900,NA
"394","Venezuela","Germany",1900,NA
"395","Venezuela","Austria-Hungary",1900,NA
"396","Venezuela","Italy",1900,NA
"397","Venezuela","Yugoslavia",1900,NA
"398","Venezuela","Greece",1900,NA
"399","Venezuela","Romania",1900,NA
"400","Venezuela","Russia",1900,NA
"401","Venezuela","Sweden",1900,NA
"402","Venezuela","Denmark",1900,NA
"403","Venezuela","Ethiopia",1900,NA
"404","Venezuela","Morocco",1900,NA
"405","Venezuela","Iran",1900,NA
"406","Venezuela","Turkey",1900,NA
"407","Venezuela","China",1900,NA
"408","Venezuela","Korea",1900,NA
"409","Venezuela","Japan",1900,NA
"410","Venezuela","Thailand",1900,NA
"411","Ecuador","United States of America",1900,NA
"412","Ecuador","Haiti",1900,NA
"413","Ecuador","Dominican Republic",1900,NA
"414","Ecuador","Mexico",1900,NA
"415","Ecuador","Guatemala",1900,NA
"416","Ecuador","Honduras",1900,NA
"417","Ecuador","El Salvador",1900,NA
"418","Ecuador","Nicaragua",1900,NA
"419","Ecuador","Colombia",1900,NA
"420","Ecuador","Venezuela",1900,NA
"421","Ecuador","Peru",1900,0.02
"422","Ecuador","Brazil",1900,NA
"423","Ecuador","Bolivia",1900,NA
"424","Ecuador","Paraguay",1900,NA
"425","Ecuador","Chile",1900,NA
"426","Ecuador","Argentina",1900,NA
"427","Ecuador","Uruguay",1900,NA
"428","Ecuador","United Kingdom",1900,0.73
"429","Ecuador","Netherlands",1900,NA
"430","Ecuador","Belgium",1900,NA
"431","Ecuador","France",1900,NA
"432","Ecuador","Switzerland",1900,NA
"433","Ecuador","Spain",1900,NA
"434","Ecuador","Portugal",1900,NA
"435","Ecuador","Germany",1900,NA
"436","Ecuador","Austria-Hungary",1900,NA
"437","Ecuador","Italy",1900,NA
"438","Ecuador","Yugoslavia",1900,NA
"439","Ecuador","Greece",1900,NA
"440","Ecuador","Romania",1900,NA
"441","Ecuador","Russia",1900,NA
"442","Ecuador","Sweden",1900,NA
"443","Ecuador","Denmark",1900,NA
"444","Ecuador","Ethiopia",1900,NA
"445","Ecuador","Morocco",1900,NA
"446","Ecuador","Iran",1900,NA
"447","Ecuador","Turkey",1900,NA
"448","Ecuador","China",1900,NA
"449","Ecuador","Korea",1900,NA
"450","Ecuador","Japan",1900,NA
"451","Ecuador","Thailand",1900,NA
"452","Peru","United States of America",1900,4.62
"453","Peru","Haiti",1900,NA
"454","Peru","Dominican Republic",1900,NA
"455","Peru","Mexico",1900,NA
"456","Peru","Guatemala",1900,NA
"457","Peru","Honduras",1900,NA
"458","Peru","El Salvador",1900,NA
"459","Peru","Nicaragua",1900,NA
"460","Peru","Colombia",1900,NA
"461","Peru","Venezuela",1900,NA
"462","Peru","Ecuador",1900,0.21
"463","Peru","Brazil",1900,NA
"464","Peru","Bolivia",1900,0.47
"465","Peru","Paraguay",1900,NA
"466","Peru","Chile",1900,2.42
"467","Peru","Argentina",1900,NA
"468","Peru","Uruguay",1900,NA
"469","Peru","United Kingdom",1900,6.29
"470","Peru","Netherlands",1900,NA
"471","Peru","Belgium",1900,0.01
"472","Peru","France",1900,0.58
"473","Peru","Switzerland",1900,NA
"474","Peru","Spain",1900,0.01
"475","Peru","Portugal",1900,NA
"476","Peru","Germany",1900,2.48
"477","Peru","Austria-Hungary",1900,NA
"478","Peru","Italy",1900,0.02
"479","Peru","Yugoslavia",1900,NA
"480","Peru","Greece",1900,NA
"481","Peru","Romania",1900,NA
"482","Peru","Russia",1900,NA
"483","Peru","Sweden",1900,NA
"484","Peru","Denmark",1900,NA
"485","Peru","Ethiopia",1900,NA
"486","Peru","Morocco",1900,NA
"487","Peru","Iran",1900,NA
"488","Peru","Turkey",1900,NA
"489","Peru","China",1900,NA
"490","Peru","Korea",1900,NA
"491","Peru","Japan",1900,NA
"492","Peru","Thailand",1900,NA
"493","Brazil","United States of America",1900,70.64
"494","Brazil","Haiti",1900,NA
"495","Brazil","Dominican Republic",1900,NA
"496","Brazil","Mexico",1900,NA
"497","Brazil","Guatemala",1900,NA
"498","Brazil","Honduras",1900,NA
"499","Brazil","El Salvador",1900,NA
"500","Brazil","Nicaragua",1900,NA
"501","Brazil","Colombia",1900,NA
"502","Brazil","Venezuela",1900,NA
"503","Brazil","Ecuador",1900,NA
"504","Brazil","Peru",1900,NA
"505","Brazil","Bolivia",1900,NA
"506","Brazil","Paraguay",1900,NA
"507","Brazil","Chile",1900,0.55
"508","Brazil","Argentina",1900,3.51
"509","Brazil","Uruguay",1900,1.26
"510","Brazil","United Kingdom",1900,28.65
"511","Brazil","Netherlands",1900,NA
"512","Brazil","Belgium",1900,0.0078243
"513","Brazil","France",1900,NA
"514","Brazil","Switzerland",1900,NA
"515","Brazil","Spain",1900,0.3
"516","Brazil","Portugal",1900,NA
"517","Brazil","Germany",1900,NA
"518","Brazil","Austria-Hungary",1900,8.81
"519","Brazil","Italy",1900,3.07
"520","Brazil","Yugoslavia",1900,NA
"521","Brazil","Greece",1900,NA
"522","Brazil","Romania",1900,NA
"523","Brazil","Russia",1900,NA
"524","Brazil","Sweden",1900,NA
"525","Brazil","Denmark",1900,NA
"526","Brazil","Ethiopia",1900,NA
"527","Brazil","Morocco",1900,NA
"528","Brazil","Iran",1900,NA
"529","Brazil","Turkey",1900,NA
"530","Brazil","China",1900,NA
"531","Brazil","Korea",1900,NA
"532","Brazil","Japan",1900,NA
"533","Brazil","Thailand",1900,NA
"534","Bolivia","United States of America",1900,NA
"535","Bolivia","Haiti",1900,NA
"536","Bolivia","Dominican Republic",1900,NA
"537","Bolivia","Mexico",1900,NA
"538","Bolivia","Guatemala",1900,NA
"539","Bolivia","Honduras",1900,NA
"540","Bolivia","El Salvador",1900,NA
"541","Bolivia","Nicaragua",1900,NA
"542","Bolivia","Colombia",1900,NA
"543","Bolivia","Venezuela",1900,NA
"544","Bolivia","Ecuador",1900,NA
"545","Bolivia","Peru",1900,0.04
"546","Bolivia","Brazil",1900,NA
"547","Bolivia","Paraguay",1900,NA
"548","Bolivia","Chile",1900,NA
"549","Bolivia","Argentina",1900,NA
"550","Bolivia","Uruguay",1900,NA
"551","Bolivia","United Kingdom",1900,NA
"552","Bolivia","Netherlands",1900,NA
"553","Bolivia","Belgium",1900,NA
"554","Bolivia","France",1900,NA
"555","Bolivia","Switzerland",1900,NA
"556","Bolivia","Spain",1900,NA
"557","Bolivia","Portugal",1900,NA
"558","Bolivia","Germany",1900,NA
"559","Bolivia","Austria-Hungary",1900,NA
"560","Bolivia","Italy",1900,NA
"561","Bolivia","Yugoslavia",1900,NA
"562","Bolivia","Greece",1900,NA
"563","Bolivia","Romania",1900,NA
"564","Bolivia","Russia",1900,NA
"565","Bolivia","Sweden",1900,NA
"566","Bolivia","Denmark",1900,NA
"567","Bolivia","Ethiopia",1900,NA
"568","Bolivia","Morocco",1900,NA
"569","Bolivia","Iran",1900,NA
"570","Bolivia","Turkey",1900,NA
"571","Bolivia","China",1900,NA
"572","Bolivia","Korea",1900,NA
"573","Bolivia","Japan",1900,NA
"574","Bolivia","Thailand",1900,NA
"575","Paraguay","United States of America",1900,NA
"576","Paraguay","Haiti",1900,NA
"577","Paraguay","Dominican Republic",1900,NA
"578","Paraguay","Mexico",1900,NA
"579","Paraguay","Guatemala",1900,NA
"580","Paraguay","Honduras",1900,NA
"581","Paraguay","El Salvador",1900,NA
"582","Paraguay","Nicaragua",1900,NA
"583","Paraguay","Colombia",1900,NA
"584","Paraguay","Venezuela",1900,NA
"585","Paraguay","Ecuador",1900,NA
"586","Paraguay","Peru",1900,NA
"587","Paraguay","Brazil",1900,NA
"588","Paraguay","Bolivia",1900,NA
"589","Paraguay","Chile",1900,NA
"590","Paraguay","Argentina",1900,NA
"591","Paraguay","Uruguay",1900,NA
"592","Paraguay","United Kingdom",1900,NA
"593","Paraguay","Netherlands",1900,NA
"594","Paraguay","Belgium",1900,NA
"595","Paraguay","France",1900,NA
"596","Paraguay","Switzerland",1900,NA
"597","Paraguay","Spain",1900,NA
"598","Paraguay","Portugal",1900,NA
"599","Paraguay","Germany",1900,NA
"600","Paraguay","Austria-Hungary",1900,NA
"601","Paraguay","Italy",1900,NA
"602","Paraguay","Yugoslavia",1900,NA
"603","Paraguay","Greece",1900,NA
"604","Paraguay","Romania",1900,NA
"605","Paraguay","Russia",1900,NA
"606","Paraguay","Sweden",1900,NA
"607","Paraguay","Denmark",1900,NA
"608","Paraguay","Ethiopia",1900,NA
"609","Paraguay","Morocco",1900,NA
"610","Paraguay","Iran",1900,NA
"611","Paraguay","Turkey",1900,NA
"612","Paraguay","China",1900,NA
"613","Paraguay","Korea",1900,NA
"614","Paraguay","Japan",1900,NA
"615","Paraguay","Thailand",1900,NA
"616","Chile","United States of America",1900,8.68
"617","Chile","Haiti",1900,NA
"618","Chile","Dominican Republic",1900,NA
"619","Chile","Mexico",1900,NA
"620","Chile","Guatemala",1900,NA
"621","Chile","Honduras",1900,NA
"622","Chile","El Salvador",1900,NA
"623","Chile","Nicaragua",1900,NA
"624","Chile","Colombia",1900,NA
"625","Chile","Venezuela",1900,NA
"626","Chile","Ecuador",1900,NA
"627","Chile","Peru",1900,0.6
"628","Chile","Brazil",1900,0.05
"629","Chile","Bolivia",1900,NA
"630","Chile","Paraguay",1900,NA
"631","Chile","Argentina",1900,0.14
"632","Chile","Uruguay",1900,0.18
"633","Chile","United Kingdom",1900,23.26
"634","Chile","Netherlands",1900,NA
"635","Chile","Belgium",1900,5.43
"636","Chile","France",1900,2.88
"637","Chile","Switzerland",1900,NA
"638","Chile","Spain",1900,NA
"639","Chile","Portugal",1900,NA
"640","Chile","Germany",1900,7.31
"641","Chile","Austria-Hungary",1900,NA
"642","Chile","Italy",1900,0.0036225
"643","Chile","Yugoslavia",1900,NA
"644","Chile","Greece",1900,NA
"645","Chile","Romania",1900,NA
"646","Chile","Russia",1900,NA
"647","Chile","Sweden",1900,NA
"648","Chile","Denmark",1900,NA
"649","Chile","Ethiopia",1900,NA
"650","Chile","Morocco",1900,NA
"651","Chile","Iran",1900,NA
"652","Chile","Turkey",1900,NA
"653","Chile","China",1900,NA
"654","Chile","Korea",1900,NA
"655","Chile","Japan",1900,NA
"656","Chile","Thailand",1900,NA
"657","Argentina","United States of America",1900,8.06
"658","Argentina","Haiti",1900,NA
"659","Argentina","Dominican Republic",1900,NA
"660","Argentina","Mexico",1900,NA
"661","Argentina","Guatemala",1900,NA
"662","Argentina","Honduras",1900,NA
"663","Argentina","El Salvador",1900,NA
"664","Argentina","Nicaragua",1900,NA
"665","Argentina","Colombia",1900,NA
"666","Argentina","Venezuela",1900,NA
"667","Argentina","Ecuador",1900,NA
"668","Argentina","Peru",1900,NA
"669","Argentina","Brazil",1900,5.81
"670","Argentina","Bolivia",1900,NA
"671","Argentina","Paraguay",1900,NA
"672","Argentina","Chile",1900,0.91
"673","Argentina","Uruguay",1900,2.7
"674","Argentina","United Kingdom",1900,63.03
"675","Argentina","Netherlands",1900,NA
"676","Argentina","Belgium",1900,16.9
"677","Argentina","France",1900,17.87
"678","Argentina","Switzerland",1900,NA
"679","Argentina","Spain",1900,5.87
"680","Argentina","Portugal",1900,NA
"681","Argentina","Germany",1900,18.86
"682","Argentina","Austria-Hungary",1900,NA
"683","Argentina","Italy",1900,4.04
"684","Argentina","Yugoslavia",1900,NA
"685","Argentina","Greece",1900,NA
"686","Argentina","Romania",1900,NA
"687","Argentina","Russia",1900,NA
"688","Argentina","Sweden",1900,NA
"689","Argentina","Denmark",1900,NA
"690","Argentina","Ethiopia",1900,NA
"691","Argentina","Morocco",1900,NA
"692","Argentina","Iran",1900,NA
"693","Argentina","Turkey",1900,NA
"694","Argentina","China",1900,NA
"695","Argentina","Korea",1900,NA
"696","Argentina","Japan",1900,NA
"697","Argentina","Thailand",1900,NA
"698","Uruguay","United States of America",1900,1.7
"699","Uruguay","Haiti",1900,NA
"700","Uruguay","Dominican Republic",1900,NA
"701","Uruguay","Mexico",1900,NA
"702","Uruguay","Guatemala",1900,NA
"703","Uruguay","Honduras",1900,NA
"704","Uruguay","El Salvador",1900,NA
